datetime,Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
2020-01-01 00:00:00,-2.14,96.0,0.0,0.0,-3.97,-1.12,-5.28,98.09,92.15,87.72,0.0,96.83,0.0,0.0,183.04,0.0
2020-01-01 01:00:00,-2.92,96.81,0.0,0.0,-4.21,-0.39,-3.16,99.33,89.39,100.26,0.0,91.46,0.0,0.0,186.73,0.0
2020-01-01 02:00:00,-3.7,97.88,0.0,0.0,-3.68,0.14,-2.71,99.96,92.91,102.94,46.32,40.65,0.0,74.99,84.52,0.0
2020-01-01 03:00:00,-3.99,98.25,0.0,0.0,-3.0,-0.49,-2.69,98.15,90.95,99.15,44.5,39.8,0.0,103.16,70.78,0.0
2020-01-01 04:00:00,-3.62,97.81,0.0,0.0,-1.95,-1.67,-4.82,95.68,101.57,99.45,76.01,0.0,0.0,192.94,0.0,0.0
2020-01-01 05:00:00,-3.4,97.56,0.0,0.0,-1.11,-1.41,-5.24,93.68,97.29,102.75,58.65,0.0,0.0,62.34,0.0,0.0
2020-01-01 06:00:00,-4.01,98.25,0.0,0.0,-0.6,-2.17,-4.5,94.48,96.95,98.15,92.28,0.0,0.0,184.54,0.0,0.0
2020-01-01 07:00:00,-4.31,98.56,0.0,0.0,-0.17,-0.54,-6.2,95.51,95.11,98.83,91.94,0.0,0.0,186.91,0.0,0.0
2020-01-01 08:00:00,-3.61,97.75,46.66,73.45,0.19,-0.8,-5.06,95.39,95.53,97.65,40.68,0.0,38.94,86.91,0.0,10.61
2020-01-01 09:00:00,-2.92,97.0,43.75,102.02,-0.51,-1.83,-3.26,95.41,89.67,101.9,38.57,0.0,55.2,68.43,0.0,92.6
2020-01-01 10:00:00,-2.23,95.31,74.81,193.25,-1.42,-2.74,0.3,96.24,91.11,98.01,0.0,0.0,100.99,0.0,0.0,79.91
2020-01-01 11:00:00,-1.4,93.75,59.0,62.94,-1.76,-4.36,0.98,95.9,101.96,90.87,0.0,0.0,103.02,0.0,0.0,89.67
2020-01-01 12:00:00,-0.63,93.44,92.25,185.38,-1.85,-4.48,0.71,97.62,92.41,94.37,0.0,0.0,87.55,0.0,0.0,112.5
2020-01-01 13:00:00,-0.08,93.31,92.15,190.49,-1.1,-4.46,2.03,94.35,95.67,97.07,0.0,0.0,71.21,0.0,0.0,80.23
2020-01-01 14:00:00,0.02,94.25,41.36,86.21,-0.89,-3.95,1.3,91.18,90.22,91.99,0.0,0.0,60.02,0.0,0.0,68.84
2020-01-01 15:00:00,-0.56,95.56,38.15,69.43,-1.82,-2.94,1.83,92.37,90.82,84.58,0.0,0.0,32.74,0.0,0.0,18.34
2020-01-01 16:00:00,-1.69,96.75,0.0,0.0,-2.56,-4.33,-0.88,93.29,93.17,102.67,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 17:00:00,-1.96,96.56,0.0,0.0,-3.87,-5.08,-1.45,98.07,92.14,102.6,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 18:00:00,-1.57,95.75,0.0,0.0,-3.93,-4.46,-1.19,99.26,98.93,98.28,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 19:00:00,-1.07,93.88,0.0,0.0,-4.03,-5.28,-0.85,97.99,98.64,98.45,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 20:00:00,-1.06,93.0,0.0,0.0,-3.26,-4.42,-0.16,92.99,98.32,85.58,0.0,36.31,0.0,0.0,10.89,0.0
2020-01-01 21:00:00,-1.63,93.44,0.0,0.0,-3.31,-3.68,1.48,93.53,98.47,85.3,0.0,56.35,0.0,0.0,95.64,0.0
2020-01-01 22:00:00,-2.83,95.19,0.0,0.0,-4.19,-1.48,2.24,97.01,87.91,94.56,0.0,93.83,0.0,0.0,79.24,0.0
2020-01-01 23:00:00,-4.05,97.12,0.0,0.0,-4.32,0.06,0.66,94.71,89.51,90.88,0.0,117.1,0.0,0.0,92.65,0.0
2020-01-02 00:00:00,-4.15,97.0,0.0,0.0,-4.9,0.38,1.23,94.77,93.88,93.06,0.0,89.63,0.0,0.0,124.31,0.0
2020-01-02 01:00:00,-3.87,96.25,0.0,0.0,-5.17,1.48,0.93,94.27,93.41,83.47,0.0,71.7,0.0,0.0,73.0,0.0
2020-01-02 02:00:00,-3.36,95.19,0.0,0.0,-4.66,0.45,1.5,93.19,95.01,94.73,37.18,60.31,0.0,10.83,70.52,0.0
2020-01-02 03:00:00,-3.35,95.0,0.0,0.0,-3.27,1.04,1.52,92.37,95.43,92.32,54.77,33.62,0.0,91.9,19.14,0.0
2020-01-02 04:00:00,-4.02,95.25,0.0,0.0,-1.09,-0.2,-0.42,92.42,95.19,98.46,92.28,0.0,0.0,74.82,0.0,0.0
2020-01-02 05:00:00,-4.5,94.69,0.0,0.0,0.14,-0.59,1.22,94.62,97.12,96.49,115.63,0.0,0.0,88.39,0.0,0.0
2020-01-02 06:00:00,-5.02,94.44,0.0,0.0,0.72,0.08,1.04,93.06,97.34,96.07,90.75,0.0,0.0,121.49,0.0,0.0
2020-01-02 07:00:00,-5.36,94.38,0.0,0.0,0.98,0.18,0.43,93.08,93.63,99.43,67.25,0.0,0.0,77.98,0.0,0.0
2020-01-02 08:00:00,-4.96,94.44,37.85,10.61,0.93,0.66,1.66,92.3,96.8,87.78,57.09,0.0,35.26,71.41,0.0,199.03
2020-01-02 09:00:00,-3.13,94.12,55.36,93.14,0.6,0.49,1.09,93.47,99.09,92.65,34.54,0.0,49.56,19.08,0.0,362.29
2020-01-02 10:00:00,-0.85,90.5,93.57,75.98,0.37,0.47,2.53,95.12,90.71,94.47,0.0,0.0,82.19,0.0,0.0,166.87
2020-01-02 11:00:00,0.11,92.31,113.98,90.25,-0.15,0.95,3.12,94.48,90.36,87.19,0.0,0.0,97.34,0.0,0.0,126.14
2020-01-02 12:00:00,0.59,92.75,90.28,121.22,-0.59,1.18,1.03,96.42,92.11,106.45,0.0,0.0,54.98,0.0,0.0,91.61
2020-01-02 13:00:00,0.9,92.12,68.64,76.73,-0.18,1.59,1.57,94.49,95.11,105.71,0.0,0.0,79.44,0.0,0.0,141.65
2020-01-02 14:00:00,1.01,92.44,57.71,71.94,0.5,1.39,1.19,93.52,97.27,89.91,0.0,0.0,27.38,0.0,0.0,117.47
2020-01-02 15:00:00,0.86,93.19,34.95,18.91,1.09,0.58,2.13,96.26,91.15,109.28,0.0,0.0,30.51,0.0,0.0,81.56
2020-01-02 16:00:00,0.1,94.0,0.0,0.0,1.29,0.59,0.96,92.7,91.58,94.4,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 17:00:00,-0.45,95.19,0.0,0.0,1.26,0.83,0.74,94.72,93.05,92.87,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 18:00:00,-0.31,95.69,0.0,0.0,0.87,0.11,1.45,94.99,99.94,103.51,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 19:00:00,0.04,95.62,0.0,0.0,1.14,1.37,0.78,95.18,98.17,107.21,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 20:00:00,0.38,94.81,0.0,0.0,1.05,0.99,0.98,92.34,95.59,101.13,0.0,35.81,0.0,0.0,200.65,0.0
2020-01-02 21:00:00,0.83,94.19,0.0,0.0,1.39,2.05,0.76,93.08,96.51,106.38,0.0,48.29,0.0,0.0,357.86,0.0
2020-01-02 22:00:00,1.09,93.31,0.0,0.0,0.82,1.97,-1.17,93.69,92.36,94.09,0.0,79.33,0.0,0.0,183.39,0.0
2020-01-02 23:00:00,1.25,92.69,0.0,0.0,0.66,1.99,0.24,98.03,99.99,97.36,0.0,93.88,0.0,0.0,139.68,0.0
2020-01-03 00:00:00,1.15,93.56,0.0,0.0,0.48,1.63,-0.19,94.87,98.67,90.31,0.0,57.51,0.0,0.0,97.75,0.0
2020-01-03 01:00:00,1.29,92.81,0.0,0.0,0.73,2.65,-3.22,98.38,95.7,97.83,0.0,84.47,0.0,0.0,151.43,0.0
2020-01-03 02:00:00,1.23,93.5,0.0,0.0,1.0,2.18,-1.66,94.06,93.58,100.77,34.5,25.48,0.0,200.16,122.58,0.0
2020-01-03 03:00:00,1.12,94.69,0.0,0.0,1.4,1.5,-2.35,97.28,102.25,102.91,50.34,28.77,0.0,380.82,81.5,0.0
2020-01-03 04:00:00,0.76,95.62,0.0,0.0,1.91,1.49,-4.64,94.68,104.43,99.05,75.74,0.0,0.0,181.57,0.0,0.0
2020-01-03 05:00:00,0.48,96.12,0.0,0.0,2.1,1.05,-6.41,93.68,93.98,89.64,93.93,0.0,0.0,132.0,0.0,0.0
2020-01-03 06:00:00,0.58,96.75,0.0,0.0,2.29,0.55,-7.07,95.59,97.12,88.06,55.89,0.0,0.0,95.0,0.0,0.0
2020-01-03 07:00:00,0.79,96.75,0.0,0.0,2.52,0.99,-6.44,94.82,95.65,84.08,80.43,0.0,0.0,148.78,0.0,0.0
2020-01-03 08:00:00,1.07,96.25,35.16,199.88,2.06,-0.2,-3.9,99.48,95.09,95.72,26.26,0.0,43.96,119.96,0.0,9.48
2020-01-03 09:00:00,1.49,95.31,49.59,374.41,1.82,-0.25,-2.71,98.33,96.4,81.6,27.97,0.0,35.84,79.93,0.0,32.6
2020-01-03 10:00:00,1.73,95.31,76.78,181.48,1.12,-0.55,-3.73,102.28,101.57,92.41,0.0,0.0,61.42,0.0,0.0,47.35
2020-01-03 11:00:00,1.9,96.12,91.91,134.46,1.1,-0.02,-2.31,99.35,96.94,92.75,0.0,0.0,78.82,0.0,0.0,57.76
2020-01-03 12:00:00,2.08,96.81,56.66,94.46,0.59,-1.2,-3.64,100.64,95.44,84.64,0.0,0.0,104.59,0.0,0.0,58.5
2020-01-03 13:00:00,2.23,97.25,80.94,146.66,0.26,-2.07,-1.77,98.29,99.59,95.43,0.0,0.0,69.15,0.0,0.0,64.23
2020-01-03 14:00:00,2.17,98.06,26.16,121.88,0.57,-2.53,-3.43,98.73,97.14,98.74,0.0,0.0,42.93,0.0,0.0,57.78
2020-01-03 15:00:00,1.74,99.69,27.96,80.51,0.17,-2.85,-3.54,98.72,94.03,93.6,0.0,0.0,35.28,0.0,0.0,15.64
2020-01-03 16:00:00,1.26,100.0,0.0,0.0,-0.07,-3.91,-4.42,98.52,98.11,101.16,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 17:00:00,0.94,98.81,0.0,0.0,-0.74,-5.97,-4.2,100.34,100.1,88.95,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 18:00:00,0.59,98.75,0.0,0.0,-1.09,-5.43,-4.68,99.81,87.08,84.79,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 19:00:00,0.48,98.56,0.0,0.0,-1.59,-5.65,-5.63,98.87,82.74,85.25,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 20:00:00,0.36,98.44,0.0,0.0,-2.61,-4.61,-3.64,98.7,88.12,85.27,0.0,41.2,0.0,0.0,10.22,0.0
2020-01-03 21:00:00,0.19,98.31,0.0,0.0,-3.5,-4.48,-4.66,96.92,86.34,95.86,0.0,35.34,0.0,0.0,34.26,0.0
2020-01-03 22:00:00,-0.15,98.31,0.0,0.0,-4.75,-3.71,-3.72,100.31,84.98,86.31,0.0,67.33,0.0,0.0,44.51,0.0
2020-01-03 23:00:00,-0.6,98.5,0.0,0.0,-5.98,-2.86,-6.13,97.11,87.18,86.87,0.0,87.72,0.0,0.0,57.95,0.0
2020-01-04 00:00:00,-1.12,98.81,0.0,0.0,-5.95,-2.12,-7.36,89.46,89.72,98.0,0.0,103.75,0.0,0.0,54.22,0.0
2020-01-04 01:00:00,-1.88,99.44,0.0,0.0,-5.7,-2.06,-6.93,86.84,93.21,93.46,0.0,62.61,0.0,0.0,59.41,0.0
2020-01-04 02:00:00,-2.63,99.75,0.0,0.0,-5.44,-2.29,-7.25,87.84,94.39,90.82,41.5,42.49,0.0,10.18,50.84,0.0
2020-01-04 03:00:00,-3.26,99.0,0.0,0.0,-3.96,-2.12,-9.56,86.9,95.63,83.79,33.92,34.36,0.0,34.15,16.03,0.0
2020-01-04 04:00:00,-4.49,98.5,0.0,0.0,-3.1,-3.44,-10.19,82.59,92.57,100.91,67.41,0.0,0.0,46.61,0.0,0.0
2020-01-04 05:00:00,-5.74,96.5,0.0,0.0,-3.01,-3.65,-9.38,84.36,97.27,100.32,85.98,0.0,0.0,56.08,0.0,0.0
