,direct_solar_radiation,diffuse_solar_radiation,outdoor_air_temperature,occupant_count,heating_load,sin_month,cos_month,sin_hour,cos_hour,sin_DoW,cos_DoW,average_indoor_air_temperature
199613,1063.59,409.12,19.16,2.0,24.735765,1.0,0.8660254,1.0,1.0,0.9749279,1.0,28.886297
20199,1063.59,409.12,19.16,4.0,47.0674,1.0,0.8660254,1.0,1.0,0.9749279,1.0,32.500576
245723,1063.59,409.12,19.16,1.0,37.463642,1.0,0.8660254,1.0,1.0,0.9749279,1.0,23.154581
247942,1063.59,409.12,19.16,3.0,15.631087,1.0,0.8660254,1.0,1.0,0.9749279,1.0,29.060621
373117,1063.59,409.12,19.16,1.0,30.002197,1.0,0.8660254,1.0,1.0,0.9749279,1.0,24.220861
376570,1063.59,409.12,19.16,2.0,26.338991,1.0,0.8660254,1.0,1.0,0.9749279,1.0,23.92742
387179,1063.59,409.12,19.16,1.0,11.044797,1.0,0.8660254,1.0,1.0,0.9749279,1.0,23.453857
391597,1063.59,409.12,19.16,1.0,26.126406,1.0,0.8660254,1.0,1.0,0.9749279,1.0,22.210056
411001,1063.59,409.12,19.16,1.0,15.181135,1.0,0.8660254,1.0,1.0,0.9749279,1.0,23.611042
425540,1063.59,409.12,19.16,2.0,32.827988,1.0,0.8660254,1.0,1.0,0.9749279,1.0,24.175133
430942,1063.59,409.12,19.16,1.0,21.044563,1.0,0.8660254,1.0,1.0,0.9749279,1.0,23.565735
4421,1063.59,409.12,19.16,3.0,32.83503,1.0,0.8660254,1.0,1.0,0.9749279,1.0,32.894817
450491,1063.59,409.12,19.16,3.0,37.672546,1.0,0.8660254,1.0,1.0,0.9749279,1.0,22.576069
481052,1063.59,409.12,19.16,1.0,32.689346,1.0,0.8660254,1.0,1.0,0.9749279,1.0,32.87715
498771,1063.59,409.12,19.16,1.0,19.651052,1.0,0.8660254,1.0,1.0,0.9749279,1.0,29.94216
508889,1063.59,409.12,19.16,2.0,61.543476,1.0,0.8660254,1.0,1.0,0.9749279,1.0,35.30258
525859,1063.59,409.12,19.16,3.0,12.511335,1.0,0.8660254,1.0,1.0,0.9749279,1.0,22.4186
546814,1063.59,409.12,19.16,2.0,29.347002,1.0,0.8660254,1.0,1.0,0.9749279,1.0,39.359097
75252,1063.59,409.12,19.16,4.0,43.277924,1.0,0.8660254,1.0,1.0,0.9749279,1.0,34.770065
79194,1063.59,409.12,19.16,2.0,47.291977,1.0,0.8660254,1.0,1.0,0.9749279,1.0,38.150673
