,direct_solar_radiation,diffuse_solar_radiation,outdoor_air_temperature,occupant_count,heating_load,sin_month,cos_month,sin_hour,cos_hour,sin_DoW,cos_DoW,average_indoor_air_temperature
199613,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-14.997778
20199,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-12.011532
245723,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-18.948042
247942,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-7.0025077
373117,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-14.145227
376570,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-16.17939
387179,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-12.111035
391597,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-15.766392
411001,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-15.332755
425540,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-13.422444
430942,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-16.072042
4421,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-13.692898
450491,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-17.163555
481052,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-13.389481
498771,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-13.249324
508889,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-18.030127
525859,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-9.414004
546814,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-18.374434
75252,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-13.68664
79194,0.0,0.0,-32.53,0.0,0.0,0.5,6.123234e-17,-1.0,-1.0,-0.9749279,-0.90096885,-18.19463
