location,resstock_building_id,ecobee_building_id,simulation_reference,timestep,year,month,day,day_of_week,hour,minute,direct_solar_radiation,diffuse_solar_radiation,outdoor_air_temperature,average_indoor_air_temperature,occupant_count,cooling_load,heating_load,setpoint
"VT, Chittenden County",430942,,0,1,2020,1,1,3,1,0,0.0,0.0,-2.14,18.965318875429844,1.0,0.0,5034.304378855957,18.944444444444443
"VT, Chittenden County",430942,,0,2,2020,1,1,3,2,0,0.0,0.0,-2.92,18.948427991343326,1.0,0.0,5224.832558706346,18.944444444444443
"VT, Chittenden County",430942,,0,3,2020,1,1,3,3,0,0.0,0.0,-3.7,18.944855948329746,1.0,0.0,5479.0370055409585,18.944444444444443
"VT, Chittenden County",430942,,0,4,2020,1,1,3,4,0,0.0,0.0,-3.99,18.944469054204234,1.0,0.0,5657.95276020326,18.944444444444443
"VT, Chittenden County",430942,,0,5,2020,1,1,3,5,0,0.0,0.0,-3.62,19.032860507510073,1.0,0.0,5832.542032943172,19.055555555555557
"VT, Chittenden County",430942,,0,6,2020,1,1,3,6,0,0.0,0.0,-3.4,19.226395555033207,1.0,0.0,6069.975069277991,19.27777777777778
"VT, Chittenden County",430942,,0,7,2020,1,1,3,7,0,0.0,0.0,-4.01,19.566992288958254,1.0,0.0,6230.812267625729,19.61111111111111
"VT, Chittenden County",430942,,0,8,2020,1,1,3,8,0,0.0,0.0,-4.31,19.69773124375354,1.0,0.0,5781.341361680375,19.72222222222222
"VT, Chittenden County",430942,,0,9,2020,1,1,3,9,0,73.45,46.66,-3.61,19.76887126969501,1.0,0.0,6238.148048939054,19.777777777777775
"VT, Chittenden County",430942,,0,10,2020,1,1,3,10,0,102.02,43.75,-2.92,19.777176584589938,0.0,0.0,6070.682274908575,19.777777777777775
"VT, Chittenden County",430942,,0,11,2020,1,1,3,11,0,193.25,74.81,-2.23,19.77775138358356,0.0,0.0,5781.275123059749,19.777777777777775
"VT, Chittenden County",430942,,0,12,2020,1,1,3,12,0,62.94,59.0,-1.4,19.777764268363576,0.0,0.0,5746.80664635297,19.777777777777775
"VT, Chittenden County",430942,,0,13,2020,1,1,3,13,0,185.38,92.25,-0.63,19.77777362000495,0.0,0.0,5431.886608302488,19.777777777777775
"VT, Chittenden County",430942,,0,14,2020,1,1,3,14,0,190.49,92.15,-0.08,19.777777542139233,1.0,0.0,4965.049473801404,19.777777777777775
"VT, Chittenden County",430942,,0,15,2020,1,1,3,15,0,86.21,41.36,0.02,19.777777755934068,1.0,0.0,4790.399058821242,19.777777777777775
"VT, Chittenden County",430942,,0,16,2020,1,1,3,16,0,69.43,38.15,-0.56,19.827786023326723,1.0,0.0,5325.756699487011,19.833333333333332
"VT, Chittenden County",430942,,0,17,2020,1,1,3,17,0,0.0,0.0,-1.69,19.93951391560018,1.0,0.0,5301.487577854421,19.944444444444446
"VT, Chittenden County",430942,,0,18,2020,1,1,3,18,0,0.0,0.0,-1.96,20.050465859304374,1.0,0.0,5656.176314772398,20.055555555555554
