,direct_solar_radiation,diffuse_solar_radiation,outdoor_air_temperature,setpoint,occupant_count,heating_load,sin_month,cos_month,sin_hour,cos_hour,sin_DoW,cos_DoW,average_indoor_air_temperature
199613,1063.59,409.12,19.16,20.166666,2.0,24.735765,1.0,0.8660254,1.0,1.0,0.9749279,1.0,28.886297
20199,1063.59,409.12,19.16,20.166666,4.0,47.0674,1.0,0.8660254,1.0,1.0,0.9749279,1.0,32.500576
247942,1063.59,409.12,19.16,20.166666,3.0,15.631087,1.0,0.8660254,1.0,1.0,0.9749279,1.0,29.060621
4421,1063.59,409.12,19.16,21.61111,3.0,32.83503,1.0,0.8660254,1.0,1.0,0.9749279,1.0,32.894817
481052,1063.59,409.12,19.16,20.166666,1.0,32.689346,1.0,0.8660254,1.0,1.0,0.9749279,1.0,32.87715
498771,1063.59,409.12,19.16,20.166666,1.0,19.651052,1.0,0.8660254,1.0,1.0,0.9749279,1.0,29.94216
508889,1063.59,409.12,19.16,21.61111,2.0,61.543476,1.0,0.8660254,1.0,1.0,0.9749279,1.0,35.30258
546814,1063.59,409.12,19.16,21.61111,2.0,29.347002,1.0,0.8660254,1.0,1.0,0.9749279,1.0,39.359097
75252,1063.59,409.12,19.16,21.61111,4.0,43.277924,1.0,0.8660254,1.0,1.0,0.9749279,1.0,34.770065
79194,1063.59,409.12,19.16,21.61111,2.0,47.291977,1.0,0.8660254,1.0,1.0,0.9749279,1.0,38.150673
