building_index,building_name,environment,lower_exponent,higher_exponent,discomfort_proportion,id
0,building_1,247942,1.4,1.4,0.013435700575815739,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_1-reward_tuning-3-2022
1,building_2,20199,1.0,1.0,0.01672085462145843,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_2-reward_tuning-1-2022
2,building_3,481052,1.0,1.0,0.0178335535006605,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_3-reward_tuning-1-2022
3,building_4,498771,1.0,1.0,0.006799163179916318,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_4-reward_tuning-1-2022
4,building_5,199613,1.0,1.0,0.008691453404152583,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_5-reward_tuning-1-2022
5,building_6,75252,1.4,1.4,0.01460197833254828,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_6-reward_tuning-3-2022
6,building_7,546814,1.0,1.0,0.09716209716209716,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_7-reward_tuning-1-2022
7,building_8,4421,1.0,1.0,0.01705352913311227,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_8-reward_tuning-1-2022
8,building_9,508889,1.0,1.0,0.014543339150668994,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_9-reward_tuning-1-2022
9,building_10,79194,1.2,1.2,0.030378486055776893,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_10-reward_tuning-2-2022
10,building_11,430942,1.2,1.2,0.006820566631689402,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_11-reward_tuning-2-2022
11,building_12,450491,2.0,2.0,0.00854295206454675,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_12-reward_tuning-6-2022
12,building_13,391597,2.0,2.0,0.010403120936280884,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_13-reward_tuning-6-2022
13,building_14,245723,1.2,1.2,0.024390243902439025,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_14-reward_tuning-2-2022
14,building_15,525859,1.4,1.4,0.008187772925764192,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_15-reward_tuning-3-2022
15,building_16,376570,1.0,1.0,0.00732421875,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_16-reward_tuning-1-2022
16,building_17,373117,2.0,2.0,0.019057702488088937,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_17-reward_tuning-6-2022
17,building_18,411001,1.8,1.8,0.006827731092436975,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_18-reward_tuning-5-2022
18,building_19,387179,1.0,1.0,0.0,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_19-reward_tuning-1-2022
19,building_20,425540,1.6,1.6,0.01406799531066823,lod_2-stable_baselines3-sac-norbc-centralized-comfortreward-building_20-reward_tuning-4-2022
