Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Heating Load (kWh),Solar Generation (W/kW),Occupant Count (people),Temperature Set Point (C),HVAC Mode (Off/Cooling/Heating)
1,1,1,0,19.33583807,,24.27375028,0.459396994,0,0,5.721678313,0,4,18.94444444,2
1,2,1,0,19.32739226,,24.27248575,0.456466586,0,0,6.193379346,0,4,18.94444444,2
1,3,1,0,19.25384083,,24.31711992,0.45370714,0,0,6.716427957,0,4,18.94444444,2
1,4,1,0,19.2289248,,24.23662338,0.450890706,0,0,7.074081095,0,4,18.94444444,2
1,5,1,0,19.3101219,,24.00631801,0.447960298,0,0,7.440304966,0,4,19.05555556,2
1,6,1,0,19.51474042,,23.65929829,0.486348633,0.956182261,0,7.66937967,0,4,19.27777778,2
1,7,1,0,19.83582151,,23.12192752,0.600998804,0,0,8.923476626,0,3,19.61111111,2
1,8,1,0,19.94979291,,22.94696619,0.75986209,4.275612683,0,7.790763415,0,3,19.72222222,2
1,9,1,0,19.98582201,,22.84327354,0.673200925,2.515085798,0,9.141740771,0,2,19.77777778,2
1,10,1,0,19.96899876,,22.82019518,0.5678052,0,0,9.162364698,0,1,19.77777778,2
1,11,1,0,19.95359407,,22.80641236,0.563710846,0,0,8.869874404,0,1,19.77777778,2
1,12,1,0,19.93856776,,22.77194009,0.565061426,0.503016326,0,8.692852073,0,1,19.77777778,2
1,13,1,0,19.92561081,,22.8633293,0.900093696,0.674524202,0,7.98609657,0,1,19.77777778,2
1,14,1,0,19.91411973,,23.01986288,0.903116037,0,0,7.55965005,0,2,19.77777778,2
1,15,1,0,19.90506693,,23.11921837,0.676911956,0,0,7.336938585,0,2,19.77777778,2
1,16,1,0,19.95079967,,23.31640415,0.966169447,0,0,6.995550711,0,3,19.83333333,2
1,17,1,0,20.05379785,,23.21828402,0.896120924,1.619118875,0,7.564353422,0,3,19.94444444,2
1,18,1,0,20.15914474,,23.09401115,1.046257409,1.006034201,0,7.97955142,0,3,20.05555556,2
1,19,1,0,20.26078325,,22.98051772,1.078228502,0.503016762,0,8.109683632,0,3,20.16666667,2
1,20,1,0,20.26330638,,23.02266512,1.025694158,0,0,8.209907635,0,3,20.16666667,2
1,21,1,0,20.09275571,,23.31695072,0.930319345,0.068161249,0,8.040116169,0,3,20,2
1,22,1,0,19.76513276,,23.8408219,1.319020887,0.017765862,0,7.30126634,0,4,19.66666667,2
1,23,1,0,19.33904193,,24.53677894,1.049342197,0,0,7.58077688,0,4,19.27777778,2
1,24,1,0,19.11297208,,24.78786915,0.556903738,0,0,7.283574764,0,4,19.05555556,2
1,1,2,0,18.99879772,,24.88006177,0.459396994,0,0,7.64917218,0,4,18.94444444,2
1,2,2,0,18.9767294,,24.7903336,0.456466586,0,0,7.839310879,0,4,18.94444444,2
1,3,2,0,18.97005306,,24.70116824,0.45370714,2.52017644,0,7.806730127,0,4,18.94444444,2
1,4,2,0,18.97236322,,24.60205646,0.450890706,0,0,7.882976339,0,4,18.94444444,2
1,5,2,0,19.08333596,,24.30991279,0.447960298,0,0,8.259598533,0,4,19.05555556,2
1,6,2,0,19.29539875,,23.92270068,0.44813126,0,0,8.953114412,0,4,19.27777778,2
1,7,2,0,19.64379766,,23.26851842,0.454049063,2.112898015,0,9.274186383,0,4,19.61111111,2
1,8,2,0,19.77380597,,22.88675964,0.559817966,0,0,10.27601515,0,3,19.72222222,2
1,9,2,0,19.82546324,,22.57028306,0.461814518,0,0,10.06508601,0,2,19.77777778,2
1,10,2,0,19.82243713,,22.55098218,0.461187659,0,0,9.045058353,0,2,19.77777778,2
1,11,2,0,19.81958927,,22.58878565,0.563710846,1.008065325,0,7.905914535,0,2,19.77777778,2
1,12,2,0,19.81626507,,22.66230179,0.565061426,5.21468459,0,6.714319781,0,2,19.77777778,2
1,13,2,0,19.81347267,,22.77018145,0.680552164,0,0,6.692504079,0,3,19.77777778,2
1,14,2,0,19.81089223,,22.91595056,1.008122327,1.221279622,0,6.170749707,0,3,19.77777778,2
